algo,problem,mean,median,std,min,max
Poems,bbobexp_f1_DIM10.csv,93.25681934094095,106.2625124,71.93312118529316,8.61980709e-10,213.9498853
Pso,bbobexp_f1_DIM10.csv,59.84721016878673,32.88219037,67.43852153598219,5.517748036e-09,333.9703405
RandomSearch,bbobexp_f1_DIM10.csv,143.95044258882686,139.1185093,55.49820351902021,21.55751367,376.7301919
Poems,bbobexp_f2_DIM10.csv,8532859.67483549,2217737.48,11862067.469771601,6.165521427e-09,40603728.2
Pso,bbobexp_f2_DIM10.csv,6290288.385451664,1288468.8155,11422179.040210182,5.068017117e-09,72947027.87
RandomSearch,bbobexp_f2_DIM10.csv,18182850.623449527,12712018.38,16694449.794229126,81513.91103,77683147.49
Poems,bbobexp_f3_DIM10.csv,679.360509477596,261.60547940000004,1181.9202598462434,2.377447572e-09,4792.797422
Pso,bbobexp_f3_DIM10.csv,463.91493203303526,127.5901389,1083.8574504470826,9.519254718e-09,9775.702516
RandomSearch,bbobexp_f3_DIM10.csv,1592.0826311280105,874.5379337,1762.0433591282315,166.8167274,9756.892073
Poems,bbobexp_f4_DIM10.csv,992.0788991344745,602.5203423,1406.1595933681551,5.59413138e-09,5477.60964
Pso,bbobexp_f4_DIM10.csv,977.5639515699661,161.5049299,2300.346694828001,2.984877171,24840.0861
RandomSearch,bbobexp_f4_DIM10.csv,2925.0986018462013,1399.632202,3517.4663164926883,185.9507288,25986.24929
Poems,bbobexp_f5_DIM10.csv,173.47807611171672,177.98229385000002,69.15935448089039,-7.105427358e-15,261.1652299
Pso,bbobexp_f5_DIM10.csv,136.4388066531405,155.530614,87.41807256263797,-1.421085472e-14,313.0972151
RandomSearch,bbobexp_f5_DIM10.csv,204.13270960606198,203.7629552,45.22717666568525,62.11727889,326.2779879
