0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,40365570.53,40365570.53,40365360.65,40365360.65,-3.961,1.8093,3.8874,-4.89,-3.5619,-1.0999,-0.81906,-0.72311,1.2825,3.1893,3.2561,2.7106,-3.3765,2.1835,2.4168,0.71171,-3.6006,-2.7877,0.067743,-3.5649
2,25509325.93,25509325.93,25509116.05,25509116.05,-2.3198,-3.5611,3.5983,-2.349,0.8249,4.6437,3.2436,3.989,0.65674,1.0646,-3.9513,-3.4706,-0.70263,-2.2651,1.064,0.87093,4.5052,0.60528,-1.9743,-2.0156
3,18953877.44,18953877.44,18953667.56,18953667.56,4.0966,-2.0684,4.9825,2.2073,3.0931,3.7127,0.048244,-3.4101,-1.0162,3.7107,3.4948,3.792,-3.1085,1.1036,-2.3464,-1.2321,-3.2838,4.0904,3.62,2.3379
4,4730688.065,4730688.065,4730478.185,4730478.185,4.5696,0.85485,1.2927,-1.0365,-3.2304,-4.6757,2.2559,3.2645,-1.4865,-0.93533,-1.5438,2.9173,-0.46802,1.8711,-1.6947,4.865,-4.7404,2.4928,-1.8354,1.8288
5,20473222.4,4730688.065,20473012.52,4730478.185,-0.8695,0.19864,1.2693,-4.4662,2.8313,0.94994,-2.569,1.4599,-4.1252,-4.885,2.54,2.0551,0.69991,-0.64815,1.0042,-1.2012,3.3337,-3.4789,-2.5394,-0.61407
6,20517347.07,4730688.065,20517137.19,4730478.185,1.6533,-3.4207,-0.79694,1.0473,-3.6298,4.2581,1.1423,1.7097,-4.1389,-4.2932,-2.7578,2.0,-1.497,0.17902,-4.4241,1.2554,4.9008,1.3135,0.87392,4.1818
7,26103634.45,4730688.065,26103424.57,4730478.185,3.5231,1.1543,-0.247,1.5076,-1.0744,-2.5207,-3.2801,1.7438,3.0003,-3.8136,-3.5122,0.80541,0.2765,0.49247,-0.52022,3.3946,-1.8859,2.6683,2.4129,-1.5188
8,24158468.17,4730688.065,24158258.29,4730478.185,-3.6097,2.5064,0.43981,3.3331,1.173,-2.9837,1.9613,4.0494,4.9407,-1.6117,4.2161,2.4234,1.3317,-4.8027,4.2676,0.083166,4.6389,-1.2319,1.8398,3.5189
10,23567210.19,4730688.065,23567000.31,4730478.185,1.2593,-3.2648,-2.0274,-0.4269,-1.4452,-2.2934,-3.209,-2.4326,1.7921,1.111,4.8952,-4.5309,-1.03,0.16923,-1.2489,1.2137,3.1135,-2.7392,0.49526,4.2919
11,39139070.45,4730688.065,39138860.57,4730478.185,2.4743,-2.7083,4.8637,-0.20361,-3.1691,-0.52404,-4.389,0.079883,1.6451,-2.4595,0.53144,-4.5933,1.703,-0.26891,4.5014,-3.7517,1.0215,1.2411,3.3991,-2.459
12,42767405.83,4730688.065,42767195.95,4730478.185,-3.0552,-3.0439,-3.038,2.1369,2.2851,4.0034,3.4315,1.4615,-2.9223,2.3328,0.21561,3.5548,-2.8788,2.1223,0.83332,-4.2498,1.6803,-4.6661,4.7424,2.2495
14,60409652.91,4730688.065,60409443.03,4730478.185,0.57588,0.85761,-4.8405,-4.0466,-4.1183,-3.6663,-4.7572,4.0351,-0.76864,0.43743,3.4029,4.5529,-0.72646,-1.8111,-1.1037,-1.937,3.4391,-3.3238,3.7292,-3.5714
15,7731202.358,4730688.065,7730992.478,4730478.185,-2.1474,-3.7709,-4.6222,1.0642,0.35848,-2.0728,1.4351,-3.2743,3.8475,-4.3721,-3.9312,-2.7841,-2.3884,3.1065,1.5217,-4.0484,-2.7027,-2.5304,-2.5551,2.2843
17,32823958.56,4730688.065,32823748.68,4730478.185,3.7822,-3.8348,-1.0963,-0.61035,1.8352,-3.7933,1.2417,-3.0208,1.2495,0.85164,-2.9449,-4.1352,0.078054,-2.47,0.63585,-4.3446,-1.9427,-0.30185,-3.2324,-3.7447
