0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,1020.16003,1020.16003,558.0700295,558.0700295,4.9239,-3.5993,-1.0621,-3.4069,-1.5607,-4.6919,-1.0041,-3.0929,-3.9622,-2.6843
2,623.2207502,623.2207502,161.1307502,161.1307502,2.3921,3.1395,-2.4342,1.2835,-1.8231,-0.053843,-0.086232,-4.4298,-2.0551,1.5484
3,574.3470461,574.3470461,112.2570461,112.2570461,0.48031,3.9854,3.0291,-3.0021,-4.4946,1.5604,4.7809,-4.9296,1.8077,0.48016
4,395.2803578,395.2803578,-66.80964223,-66.80964223,-4.37,-1.9147,1.7732,-0.60455,0.81888,1.1023,2.8004,-4.2246,0.98026,-0.10369
5,584.5692657,395.2803578,122.4792657,-66.80964223,2.0868,-0.61696,1.1566,4.2145,-4.1927,-2.0512,0.12097,1.981,4.6898,-3.3877
6,642.2099357,395.2803578,180.1199357,-66.80964223,-2.6797,1.8078,-2.1976,0.95021,-4.6434,0.26826,-2.6968,-0.68886,-0.8953,-3.5758
7,428.5264995,395.2803578,-33.56350052,-66.80964223,3.2203,1.3492,-4.5928,0.23544,-0.29337,0.6056,-0.43766,2.1477,4.9967,1.1474
8,849.8701211,395.2803578,387.7801211,-66.80964223,-1.0556,2.7967,-3.933,-0.29245,0.63347,-4.9164,-4.4953,2.195,4.7631,-3.9911
10,1377.299633,395.2803578,915.2096332,-66.80964223,-2.2264,3.7697,-3.4766,-0.80976,3.3952,0.75615,-3.1864,-3.4861,0.89711,4.8661
11,511.5140563,395.2803578,49.42405627,-66.80964223,-4.9281,-1.674,1.4187,3.6755,-3.0979,-4.3829,3.7729,2.954,0.35147,-3.4172
12,462.8855795,395.2803578,0.795579537,-66.80964223,2.3434,-3.58,-0.40824,4.9985,0.65317,3.1282,4.1087,-0.43479,1.7145,-3.7715
14,356.8208194,356.8208194,-105.2691806,-105.2691806,4.754,1.0626,4.5772,-0.60992,-1.1315,-0.091726,2.4641,1.4875,4.4469,0.28015
15,877.3522747,356.8208194,415.2622747,-105.2691806,-4.945,-1.4285,2.361,-0.52491,-1.6481,-2.617,-2.4071,-3.0314,4.0735,3.4617
17,373.2620194,356.8208194,-88.82798056,-105.2691806,1.67,2.3468,4.2637,-3.567,0.67421,-3.7209,-1.7353,2.0929,0.23366,0.85279
19,866.1339457,356.8208194,404.0439457,-105.2691806,2.8762,-2.7476,2.2123,0.97611,-0.424,-4.6195,-3.4633,-4.0983,4.4864,1.6947
22,623.2207502,356.8208194,161.1307502,-105.2691806,2.3921,3.1395,-2.4342,1.2835,-1.8231,-0.053843,-0.086232,-4.4298,-2.0551,1.5484
25,584.5692657,356.8208194,122.4792657,-105.2691806,2.0868,-0.61696,1.1566,4.2145,-4.1927,-2.0512,0.12097,1.981,4.6898,-3.3877
28,849.8701211,356.8208194,387.7801211,-105.2691806,-1.0556,2.7967,-3.933,-0.29245,0.63347,-4.9164,-4.4953,2.195,4.7631,-3.9911
31,511.5140563,356.8208194,49.42405627,-105.2691806,-4.9281,-1.674,1.4187,3.6755,-3.0979,-4.3829,3.7729,2.954,0.35147,-3.4172
35,877.3522747,356.8208194,415.2622747,-105.2691806,-4.945,-1.4285,2.361,-0.52491,-1.6481,-2.617,-2.4071,-3.0314,4.0735,3.4617
39,866.1339457,356.8208194,404.0439457,-105.2691806,2.8762,-2.7476,2.2123,0.97611,-0.424,-4.6195,-3.4633,-4.0983,4.4864,1.6947
44,411.4843199,356.8208194,-50.60568005,-105.2691806,-4.32,-1.9746,3.852,-1.6345,0.93438,-0.81625,2.8779,-3.6231,1.3558,-0.4833
50,927.4744972,356.8208194,465.3844972,-105.2691806,-3.7917,-0.29608,-3.4266,-1.2081,2.4417,0.61502,-2.9498,-5.5653,0.94711,3.427
56,485.4046144,319.584725,23.31461443,-142.505275,-2.9727,-0.044394,-3.7137,2.343,-1.4358,-1.0949,3.7596,2.6457,-4.061,0.42747
63,574.3470461,290.5978698,112.2570461,-171.4921302,0.48031,3.9854,3.0291,-3.0021,-4.4946,1.5604,4.7809,-4.9296,1.8077,0.48016
70,927.4744972,290.5978698,465.3844972,-171.4921302,-3.7917,-0.29608,-3.4266,-1.2081,2.4417,0.61502,-2.9498,-5.5653,0.94711,3.427
79,866.1339457,290.5978698,404.0439457,-171.4921302,2.8762,-2.7476,2.2123,0.97611,-0.424,-4.6195,-3.4633,-4.0983,4.4864,1.6947
89,333.3228068,290.5978698,-128.7671932,-171.4921302,4.2282,-2.7155,3.669,-4.139,-3.2078,2.0422,0.63219,1.7886,-0.037907,0.6963
100,344.2552286,275.7764807,-117.8347714,-186.3135193,2.0782,3.0702,5.0433,2.5313,-1.6178,-1.623,2.4547,-0.15657,3.7585,0.27975
112,319.584725,275.7764807,-142.505275,-186.3135193,-0.75032,-2.6561,-3.435,1.3863,0.81029,1.3717,4.0098,2.1955,-1.873,0.58014
125,284.5165112,275.7764807,-177.5734888,-186.3135193,0.33228,-1.7785,-0.29406,1.3856,-1.762,-2.5618,0.14048,0.49333,1.6754,0.80752
141,676.2651309,264.0232986,214.1751309,-198.0667014,2.7428,-5.4132,0.94557,-2.0586,2.5235,-3.9386,-1.7787,-2.5275,-1.6657,-0.99242
158,546.8400053,264.0232986,84.75000533,-198.0667014,5.2022,-0.94448,0.016293,-0.5539,-1.8537,-2.1817,-4.66,0.15187,3.5007,-0.28432
177,204.8645116,204.8645116,-257.2254884,-257.2254884,-0.47097,3.3859,4.2732,0.59842,1.7886,0.05827,-0.67806,0.65728,0.44267,1.8337
199,580.3992672,204.8645116,118.3092672,-257.2254884,1.8996,-1.0305,2.7779,1.1587,0.25074,-3.3426,-3.2,-2.926,3.0315,-1.7286
223,241.4817656,204.8645116,-220.6082344,-257.2254884,-0.28247,0.52209,0.86408,-2.8895,-2.6736,1.471,1.0605,2.1637,-1.1263,0.1075
251,321.2635877,204.8645116,-140.8264123,-257.2254884,-2.5789,1.557,4.1658,3.7096,-1.6354,0.36484,0.44908,3.2287,1.5373,-2.6632
281,256.8453784,193.69449,-205.2446216,-268.39551,-3.6974,-2.0251,-0.3834,0.16115,3.8934,-0.1408,0.40828,0.87918,2.2879,1.3246
316,205.2790786,187.7664359,-256.8109214,-274.3235641,-2.2906,0.009169,2.2808,-0.074176,-0.014896,0.33313,3.2677,-0.49067,0.45702,0.81263
354,220.3520475,143.0396777,-241.7379525,-319.0503223,-0.19349,-3.345,3.6499,-1.263,1.4633,0.74827,-0.011984,3.2025,-0.45575,-1.141
398,217.0856223,143.0396777,-245.0043777,-319.0503223,-2.1512,-2.2152,1.6949,-0.46985,-0.49992,1.6263,3.2828,0.23717,0.55347,1.1374
446,448.7882393,102.2371164,-13.30176072,-359.8528836,-3.8908,-3.0808,6.1466,2.3221,-6.057,1.8835,1.6861,1.7219,0.34227,1.9494
501,102.2371164,102.2371164,-359.8528836,-359.8528836,-4.4181,2.2074,1.2946,0.26566,3.0019,0.76889,2.0873,-0.37265,1.4483,0.7625
562,163.0699525,102.2371164,-299.0200475,-359.8528836,-1.6028,3.0503,1.2651,0.59482,0.29716,0.15097,2.5805,0.47941,1.3739,1.8586
630,169.4412456,102.2371164,-292.6487544,-359.8528836,0.79432,-3.2914,0.56357,1.4637,-0.31886,1.6736,1.1917,4.181,2.9976,-0.41315
707,152.7431766,89.91492472,-309.3468234,-372.1750753,-3.0343,-1.4383,-0.85198,0.24327,1.7712,1.8751,0.77108,1.6412,2.2231,0.99606
794,128.7322093,80.01251313,-333.3577907,-382.0774869,-2.7846,1.4246,1.1208,0.62187,4.4321,-0.0086887,2.4074,0.54113,1.7901,0.35669
891,219.8628929,80.01251313,-242.2271071,-382.0774869,-6.0339,0.27291,1.6659,-0.87452,0.72806,1.1922,1.661,-0.71958,1.9837,-0.73031
1000,135.4685401,76.03861239,-326.6214599,-386.0513876,-4.2371,0.55628,0.7381,2.9114,2.5311,1.1943,1.7087,2.0544,3.1612,1.042
1122,117.9505441,76.03861239,-344.1394559,-386.0513876,-4.8203,-0.45073,1.225,0.8781,1.5485,2.3212,2.3796,4.1809,0.94798,0.057291
1258,70.15452416,70.15452416,-391.9354758,-391.9354758,-3.0099,-0.34551,1.3551,1.287,1.0629,1.7248,2.1425,2.1158,1.3861,-0.25571
1412,190.7764945,70.15452416,-271.3135055,-391.9354758,-3.5804,2.1603,1.3285,0.50431,1.3415,2.1658,-0.18532,2.9233,1.2456,1.7589
1584,107.0498039,70.15452416,-355.0401961,-391.9354758,-3.2452,-0.43094,1.3555,1.4826,-0.78231,3.2115,1.5439,2.0185,1.3385,-0.11485
1778,161.7920254,70.15452416,-300.2979746,-391.9354758,-3.6801,-0.56817,3.0629,3.4313,1.144,1.8426,2.4654,1.9031,1.3634,-0.81105
1995,93.27925779,64.92681371,-368.8107422,-397.1631863,-4.7826,3.1471,1.0058,1.9162,1.8891,2.1201,1.6578,3.0333,1.9259,-0.20368
2238,70.15452416,44.92484528,-391.9354758,-417.1651547,-3.0099,-0.34551,1.3551,1.287,1.0629,1.7248,2.1425,2.1158,1.3861,-0.25571
2511,62.3619699,44.92484528,-399.7280301,-417.1651547,-4.378,2.1427,1.388,1.3107,2.3931,1.7731,2.5536,0.65516,2.2246,-0.0075399
2818,63.61917247,44.92484528,-398.4708275,-417.1651547,-2.5,1.3612,1.4659,0.75914,2.9325,2.7551,2.7735,1.674,2.192,0.52061
3162,99.39806373,36.17007393,-362.6919363,-425.9199261,-3.9221,0.48662,1.2878,0.77046,2.0843,2.1126,3.0177,2.1077,2.2703,1.3384
3548,64.21805239,36.17007393,-397.8719476,-425.9199261,-2.5245,0.54033,1.8305,1.3483,1.8753,1.8305,2.5424,2.1886,2.202,0.062252
3981,36.17007393,36.17007393,-425.9199261,-425.9199261,-4.3234,1.5736,1.3548,0.83583,2.9839,2.188,2.5635,2.5405,2.1696,0.69375
4466,52.8087521,36.17007393,-409.2812479,-425.9199261,-3.4325,1.4335,1.3865,0.66621,3.1424,1.6183,2.5276,1.6412,2.2829,-0.21239
5011,120.8319199,34.74755795,-341.2580801,-427.3424421,-6.7897,3.3413,0.20257,0.54571,2.3864,1.6966,2.5724,2.9577,2.231,0.58967
5623,40.52095448,34.74755795,-421.5690455,-427.3424421,-3.3967,1.286,1.4354,0.72724,2.7085,2.232,2.5241,2.6691,2.1963,0.6966
6309,53.89653767,34.20276156,-408.1934623,-427.8872384,-2.5957,1.3381,1.3437,0.75449,2.3585,1.5224,2.5094,3.0007,1.9615,0.33391
7079,58.8724836,34.20276156,-403.2175164,-427.8872384,-2.1676,-0.50395,1.2681,0.60846,2.4024,2.1404,2.5202,2.3289,2.1727,0.36793
7943,35.8066754,26.91118239,-426.2833246,-435.1788176,-2.4685,1.3968,1.2895,0.71564,2.7542,2.245,2.5319,2.6727,2.1802,0.37555
8912,57.29870591,26.91118239,-404.7912941,-435.1788176,-3.2714,1.6213,2.3743,1.2366,2.3471,1.6735,2.4552,2.5831,1.9263,0.081427
10000,38.00525067,26.91118239,-424.0847493,-435.1788176,-2.307,0.50903,1.5147,1.296,2.2257,2.1763,2.5231,2.1391,2.2722,0.80031
11220,140.5300535,26.91118239,-321.5599465,-435.1788176,-2.0087,-0.28665,1.3408,1.0111,1.8723,4.5732,2.5332,2.2347,2.4361,0.91131
12589,46.29586471,26.91118239,-415.7941353,-435.1788176,-4.2861,2.4972,3.1235,0.635,1.9995,1.6539,2.5354,2.5819,2.1359,0.40347
