evaluation,fitness,best_fitness,measured_fitness,best_measured_fitness,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,203.785132,203.785132,-258.304868,-258.304868,-3.8803,4.8865,3.786,1.7611,-1.9903,1.1574,3.7805,1.4663,1.4876,-2.0382
2,203.6076451,203.6076451,-258.4823549,-258.4823549,-3.8803,4.8865,3.7981,1.7611,-1.9903,1.1574,3.7805,1.4663,1.4876,-2.0382
3,201.741444,201.741444,-260.348556,-260.348556,-3.8803,4.8865,3.786,1.7611,-1.9903,1.1574,3.7805,1.4663,1.4876,-2.0632
4,207.5719102,201.741444,-254.5180898,-260.348556,-3.8803,4.8865,3.786,1.7611,-1.9903,1.1574,3.7805,1.4663,1.5126,-2.0382
5,201.368076,201.368076,-260.721924,-260.721924,-3.8803,4.8865,3.786,1.7611,-1.9653,1.1574,3.7805,1.4663,1.4876,-2.0382
6,201.741444,201.368076,-260.348556,-260.721924,-3.8803,4.8865,3.786,1.7611,-1.9903,1.1574,3.7805,1.4663,1.4876,-2.0632
7,204.5131839,201.368076,-257.5768161,-260.721924,-3.8803,4.8865,3.786,1.7611,-1.9903,1.1574,3.7927,1.4663,1.4876,-2.0382
8,203.6076451,201.368076,-258.4823549,-260.721924,-3.8803,4.8865,3.7981,1.7611,-1.9903,1.1574,3.7805,1.4663,1.4876,-2.0382
10,202.8074014,201.368076,-259.2825986,-260.721924,-3.8803,4.8865,3.786,1.7611,-1.9903,1.1574,3.7805,1.4413,1.4876,-2.0382
11,203.2496586,201.368076,-258.8403414,-260.721924,-3.8915,4.8865,3.786,1.7611,-1.9903,1.1574,3.7805,1.4663,1.4876,-2.0382
12,202.9653626,201.368076,-259.1246374,-260.721924,-3.8803,4.8865,3.786,1.7611,-1.9903,1.1574,3.7555,1.4663,1.4876,-2.0382
14,207.5719102,201.368076,-254.5180898,-260.721924,-3.8803,4.8865,3.786,1.7611,-1.9903,1.1574,3.7805,1.4663,1.5126,-2.0382
15,201.2352331,201.2352331,-260.8547669,-260.8547669,-3.8803,4.8865,3.786,1.7861,-1.9903,1.1574,3.7805,1.4663,1.4876,-2.0382
17,204.9324555,201.2352331,-257.1575445,-260.8547669,-3.8553,4.8865,3.786,1.7611,-1.9903,1.1574,3.7805,1.4663,1.4876,-2.0382
19,207.2654324,201.2352331,-254.8245676,-260.8547669,-3.8803,4.8865,3.786,1.7611,-1.9903,1.1574,3.7805,1.4913,1.4876,-2.0382
22,203.0728891,201.2352331,-259.0171109,-260.8547669,-3.8553,4.8865,3.786,1.7611,-1.9903,1.1574,3.7805,1.4663,1.4626,-2.0382
25,204.612482,201.2352331,-257.477518,-260.8547669,-3.8553,4.8865,3.786,1.7611,-1.9903,1.1324,3.7805,1.4663,1.4876,-2.0382
28,204.2461391,200.4154637,-257.8438609,-261.6745363,-3.8803,4.8876,3.761,1.7611,-1.9903,1.1574,3.7805,1.4663,1.4876,-2.0382
31,204.2461391,200.4154637,-257.8438609,-261.6745363,-3.8803,4.8876,3.761,1.7611,-1.9903,1.1574,3.7805,1.4663,1.4876,-2.0382
35,202.3067487,199.9343366,-259.7832513,-262.1556634,-3.8803,4.8615,3.7981,1.7611,-1.9903,1.1574,3.7805,1.4663,1.4876,-2.0382
39,203.3094123,199.9343366,-258.7805877,-262.1556634,-3.8915,4.8876,3.786,1.7611,-1.9903,1.1574,3.7805,1.4663,1.4876,-2.0382
44,200.8706156,199.5085096,-261.2193844,-262.5814904,-3.8803,4.8865,3.7981,1.7611,-1.9653,1.1324,3.7805,1.4663,1.4876,-2.0382
50,207.5286418,199.0044146,-254.5613582,-263.0855854,-3.8803,4.8865,3.786,1.7611,-2.0153,1.1824,3.7805,1.4413,1.4876,-2.0382
56,202.1278632,199.0044146,-259.9621368,-263.0855854,-3.8803,4.8865,3.786,1.7611,-1.9903,1.1574,3.7555,1.4663,1.4626,-2.0132
63,207.8127815,199.0044146,-254.2772185,-263.0855854,-3.8803,4.8865,3.761,1.7361,-1.9903,1.1824,3.7805,1.4663,1.4876,-2.0132
70,198.1532669,198.1532669,-263.9367331,-263.9367331,-3.8915,4.8865,3.786,1.7611,-1.9653,1.1574,3.7555,1.4663,1.4626,-2.0382
79,209.7701036,197.5025411,-252.3198964,-264.5874589,-3.8803,4.8865,3.786,1.7611,-1.9903,1.1824,3.7555,1.4663,1.5126,-2.0132
89,201.9810671,197.5025411,-260.1089329,-264.5874589,-3.8803,4.8865,3.7981,1.7861,-1.9903,1.1574,3.7555,1.4663,1.5126,-2.0632
100,204.8290718,197.2069147,-257.2609282,-264.8830853,-3.8553,4.8615,3.786,1.7861,-2.0153,1.1574,3.7805,1.4663,1.4876,-2.0132
112,204.2187273,197.2069147,-257.8712727,-264.8830853,-3.8803,4.8876,3.786,1.7861,-2.0153,1.1824,3.7555,1.4413,1.4876,-2.0382
125,205.3112036,197.2069147,-256.7787964,-264.8830853,-3.8553,4.8876,3.7981,1.7361,-2.0153,1.1574,3.7805,1.4413,1.4626,-2.0382
141,209.2137997,197.2069147,-252.8762003,-264.8830853,-3.8915,4.8615,3.7981,1.7861,-2.0153,1.1574,3.7805,1.4913,1.5126,-2.0382
158,204.9381156,197.2069147,-257.1518844,-264.8830853,-3.8553,4.8615,3.761,1.7361,-1.9903,1.1324,3.7555,1.4913,1.4876,-2.0632
