evaluation,fitness,best_fitness,measured_fitness,best_measured_fitness,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,8419.946305,8419.946305,7957.856305,7957.856305,4.9858,4.2099,-0.8052,-2.8699,-0.60914,-3.9277,3.7794,4.7682,4.6449,4.6187
2,2579.435608,2579.435608,2117.345608,2117.345608,3.9713,2.9904,4.2056,4.7078,-1.1715,2.0078,4.3707,0.98308,-1.874,2.4947
3,1018.196789,1018.196789,556.1067893,556.1067893,3.0103,1.3944,-1.2432,0.88615,-2.4261,-4.9448,-1.5267,-3.081,2.4893,-0.587
4,338.1413539,338.1413539,-123.9486461,-123.9486461,-3.2483,-2.1362,-4.6702,-3.4018,-0.76551,4.3561,1.2739,4.9505,0.82008,1.2185
5,990.1804026,338.1413539,528.0904026,-123.9486461,2.5193,0.3492,-2.9554,1.7906,-4.9175,-3.3901,-4.5386,-1.6996,-3.7574,-1.5495
6,1670.315437,338.1413539,1208.225437,-123.9486461,-1.5449,-0.31136,1.5565,0.33383,4.2739,-4.2768,-2.2977,-2.2919,-1.7236,0.50997
7,1601.331945,338.1413539,1139.241945,-123.9486461,-3.7594,4.8188,-1.7107,-0.56905,-3.712,4.9674,3.8095,-2.6308,-3.6111,2.4602
8,654.5487929,338.1413539,192.4587929,-123.9486461,-3.3082,3.0669,-3.9691,-3.9724,-2.9582,1.748,0.90672,-0.43283,-3.9188,-1.567
10,1640.4106,338.1413539,1178.3206,-123.9486461,2.8504,3.7543,0.91571,-0.53658,4.0409,4.0707,3.6034,3.9143,0.098178,4.2521
11,1387.521182,338.1413539,925.4311816,-123.9486461,3.4763,-0.17651,3.5916,-4.5152,-3.9617,-1.8317,-3.9681,-0.65121,-1.7522,-4.8931
12,785.4076468,338.1413539,323.3176468,-123.9486461,3.46,-2.1089,-1.4865,0.88618,-0.18641,-1.9184,0.84179,-4.3989,-1.3834,3.3897
14,792.9534661,338.1413539,330.8634661,-123.9486461,0.51442,1.8162,-3.7419,1.0101,-4.607,3.7938,2.0944,-4.3885,-2.774,-3.1998
15,4499.191103,338.1413539,4037.101103,-123.9486461,-1.4399,3.1368,-3.6924,3.6624,3.9333,2.5598,-3.7451,-1.0412,3.8774,1.1738
17,872.1718708,338.1413539,410.0818708,-123.9486461,-2.4141,3.4394,3.4445,1.1346,0.37994,0.16602,1.7067,-0.029135,-1.6229,-4.947
19,1313.645122,338.1413539,851.5551217,-123.9486461,4.5144,1.3322,1.84,-1.0343,-4.8621,2.0973,-2.8048,3.9472,-3.9333,4.403
22,1022.478823,338.1413539,560.3888233,-123.9486461,2.6055,1.414,3.8034,2.5082,-0.35314,3.738,-0.79298,-0.092246,-3.7092,4.7942
25,1511.488216,338.1413539,1049.398216,-123.9486461,1.3145,-1.539,2.3954,-2.7643,4.0692,2.314,-4.0289,0.6086,-4.7251,-3.4944
28,7504.753112,338.1413539,7042.663112,-123.9486461,3.5622,-3.6116,3.4617,3.3032,-0.6062,-1.8972,1.7785,-1.111,4.7058,4.5746
31,1679.943819,338.1413539,1217.853819,-123.9486461,-1.1247,-3.6126,4.464,-3.2548,0.45012,4.8529,3.2524,4.2922,-0.57344,-4.6487
35,9243.053344,338.1413539,8780.963344,-123.9486461,4.1937,-3.7738,1.2655,-2.7221,-4.1519,-0.51623,4.5291,3.3703,4.7687,4.8148
39,988.3802748,338.1413539,526.2902748,-123.9486461,-1.5441,-3.6747,2.871,3.092,0.14181,-2.1888,-3.9114,-4.3515,-2.1827,3.67
44,568.5270315,333.1472322,106.4370315,-128.9427678,-5.0,-4.7365,-5.0,-1.3917,-2.5373,0.86544,1.5214,5.0,-2.9753,0.92317
50,3365.702533,333.1472322,2903.612533,-128.9427678,0.23668,2.3078,-4.0843,-4.3446,5.0,0.7746,3.7393,5.0,-1.2596,3.5383
56,517.5635956,333.1472322,55.47359565,-128.9427678,-2.6834,-0.70804,-4.3964,1.8007,-0.27427,3.2234,-1.4108,-2.0713,-0.28956,2.8742
63,3220.571625,244.1701331,2758.481625,-217.9198669,-1.0044,-0.37704,-1.9017,1.6138,-0.77093,3.2096,-0.56385,4.2548,3.7858,1.7828
70,3547.432465,244.1701331,3085.342465,-217.9198669,-2.5664,-0.4557,-1.3144,-3.2485,-3.8078,-0.72416,5.0,5.0,-0.5172,-1.5204
79,1084.705438,244.1701331,622.6154382,-217.9198669,-0.060571,-3.0005,0.1923,2.8705,-2.0411,2.8112,0.86359,0.64854,2.8173,0.89409
89,3460.22505,244.1701331,2998.13505,-217.9198669,-2.2059,0.12636,-1.7122,4.8489,-2.6773,4.6386,5.0,2.9981,-0.57241,1.8627
100,8008.121911,244.1701331,7546.031911,-217.9198669,-3.4608,-5.0,-0.074458,-4.9963,-4.0559,2.6341,3.0001,5.0,5.0,2.082
112,8283.692224,244.1701331,7821.602224,-217.9198669,-0.6192,-5.0,-3.8765,-3.2658,4.3572,5.0,1.1492,5.0,4.7125,5.0
125,7456.509365,244.1701331,6994.419365,-217.9198669,-3.8061,-4.4225,0.45731,0.0,4.1339,3.2765,0.98089,2.8644,4.6925,-0.91806
141,2184.175356,244.1701331,1722.085356,-217.9198669,-3.9281,-5.0,-3.303,-1.5866,-0.21525,3.2751,3.254,1.8862,3.2422,3.5036
158,5146.544066,244.1701331,4684.454066,-217.9198669,-4.5552,-3.3488,-0.85009,-5.0,4.9954,0.19364,4.7843,-3.3696,1.5568,1.0268
177,3487.568731,244.1701331,3025.478731,-217.9198669,-2.4286,-1.7161,-2.3356,-5.0,0.62503,4.7064,5.0,3.4682,2.2311,-0.017756
199,2204.288117,244.1701331,1742.198117,-217.9198669,-4.9443,-5.0,0.59811,1.7595,4.1567,-3.5968,3.6813,0.54697,-2.4438,3.8967
223,3530.642059,244.1701331,3068.552059,-217.9198669,-2.0296,-0.7101,-2.017,2.4562,-0.060308,0.50207,5.0,2.2571,2.2729,1.521
251,325.8714373,244.1701331,-136.2185627,-217.9198669,0.06553,-4.7008,0.5366,-3.052,-1.4468,2.5489,0.7,-0.34765,1.5859,-0.34667
281,400.084295,244.1701331,-62.005705,-217.9198669,-2.5086,-3.7173,-0.32727,-3.5123,0.58091,3.2005,1.2513,-1.222,0.99832,-3.0263
316,542.8886124,195.6548396,80.79861243,-266.4351604,-4.859,-5.0,-0.64387,-3.2431,1.0253,3.9943,2.6085,0.4304,1.0411,5.0
354,411.9782919,171.9997775,-50.11170812,-290.0902225,-0.62744,-2.1411,-0.71746,-0.96092,-1.6739,4.0932,2.4185,0.83592,2.2437,1.7338
398,607.1765829,171.9997775,145.0865829,-290.0902225,1.4668,-0.92613,0.58269,-0.65345,0.83473,5.0,1.8994,4.5047,2.5381,0.24038
446,382.3693385,171.9997775,-79.72066153,-290.0902225,1.2404,3.076,2.2511,-3.8395,1.8755,3.8839,-0.26208,2.6617,2.2557,2.9442
501,320.8329863,137.6188246,-141.2570137,-324.4711754,-0.41003,-3.2075,-0.83595,-3.8487,0.9054,3.8667,0.2106,0.90506,1.0218,2.9042
562,8504.973177,127.231009,8042.883177,-334.858991,5.0,1.6671,0.47347,1.9233,-1.0171,1.1571,-1.7708,2.3333,5.0,0.98791
630,157.7863249,120.701088,-304.3036751,-341.388912,1.4957,5.0,2.5088,2.1074,1.0961,1.2637,2.3893,5.0,1.7658,-0.089487
707,5022.952108,114.677698,4560.862108,-347.412302,1.4405,0.68644,0.50112,-1.185,1.0959,2.5925,0.073271,4.4014,4.1631,1.383
794,215.6075377,107.0652732,-246.4824623,-355.0247268,2.4036,0.54668,0.97329,-3.96,1.9802,2.2623,2.3016,4.9338,0.39441,-0.54666
891,195.8880157,104.093774,-266.2019843,-357.996226,1.6148,-2.8434,1.4591,-0.11265,0.29822,0.83108,0.8329,4.237,1.3226,-0.38448
1000,393.2937439,102.2201767,-68.7962561,-359.8698233,-0.21557,2.0924,3.3873,1.5128,0.98943,2.6405,2.4679,3.2107,1.5051,0.4403
1122,7666.668476,95.52890125,7204.578476,-366.5610988,-0.95068,2.9168,0.62277,-0.4774,0.90601,3.7262,1.1307,0.46958,5.0,-0.53463
1258,169.8105975,95.52890125,-292.2794025,-366.5610988,-0.31489,2.5351,0.70308,-2.1681,2.0433,2.2977,1.869,1.6545,1.316,1.2765
1412,505.4130387,89.2920177,43.32303868,-372.7979823,0.82802,3.7397,3.437,1.3246,1.9426,2.503,1.2599,2.3946,1.2506,2.1039
1584,190.5893737,89.2920177,-271.5006263,-372.7979823,0.017587,2.884,1.1023,5.0,0.019444,2.0437,2.3496,1.6736,1.7654,-0.36521
1778,130.5806544,89.2920177,-331.5093456,-372.7979823,2.4295,1.2527,1.7661,0.57727,1.0299,2.0301,1.9166,2.2466,1.511,-1.4751
1995,1095.701577,84.47504971,633.6115772,-377.6149503,-1.7329,2.0,0.60804,-0.37927,0.52111,3.0237,3.9579,2.0001,1.4354,0.89346
2238,110.2615723,67.4084047,-351.8284277,-394.6815953,0.92706,2.5533,1.3237,-1.1771,1.2229,1.1357,1.68,2.2966,1.6969,0.27337
2511,135.9727099,67.4084047,-326.1172901,-394.6815953,-0.17462,-0.85318,1.7741,0.02986,0.488,3.1032,2.14,1.7279,1.3056,0.056235
2818,152.8956179,66.50323277,-309.1943821,-395.5867672,-0.62012,0.73022,1.6116,-0.32096,0.72118,2.014,1.3346,3.1948,0.30091,-0.247
3162,119.7323135,66.50323277,-342.3576865,-395.5867672,0.04834,1.1791,1.3439,0.82355,1.0184,1.8411,2.2331,3.4441,1.5004,-0.38829
3548,115.6947257,66.50323277,-346.3952743,-395.5867672,0.293,2.5993,1.7847,-0.11787,0.93732,1.8052,1.3105,1.405,1.3991,0.35508
3981,265.890764,39.72396813,-196.199236,-422.3660319,0.342,2.7268,1.5694,1.3323,1.9676,1.7605,3.0317,5.0,1.8971,0.87258
4466,120.929204,39.72396813,-341.160796,-422.3660319,0.57533,-0.70034,1.316,1.643,1.2616,2.2658,2.4922,2.8373,0.89477,0.60622
5011,99.82607217,31.14365256,-362.2639278,-430.9463474,-1.3265,3.3104,1.6678,2.636,2.2406,1.6746,2.0943,3.3245,1.435,0.13936
5623,102.4374075,26.58430315,-359.6525925,-435.5056968,0.1569,1.3206,0.79554,0.86568,2.1441,1.6532,1.8909,2.4145,0.64445,-0.26796
6309,280.0361667,20.69043759,-182.0538333,-441.3995624,0.4732,1.5581,3.2225,1.7931,1.7333,1.3254,2.4313,2.5057,0.92779,-0.18548
7079,22.70685199,19.03529642,-439.383148,-443.0547036,0.43049,1.3677,1.4438,2.0522,2.2079,1.6661,2.1068,3.0131,1.4722,-0.26114
7943,76.40437278,16.48232381,-385.6856272,-445.6076762,0.15056,1.4122,1.618,1.6256,2.3908,1.6011,2.1344,2.8787,1.0569,-0.25382
8912,18.09786838,15.34578974,-443.9921316,-446.7442103,0.44151,1.424,1.4035,1.985,2.2891,2.1081,2.0971,3.0119,1.4653,-0.25356
10000,131.0735543,12.57597364,-331.0164457,-449.5140264,0.48524,-0.34251,1.129,0.23202,2.2555,1.6564,2.3863,-0.21138,1.4583,-0.27761
11220,24.06235157,11.51608448,-438.0276484,-450.5739155,0.45536,1.3991,1.3188,1.4554,2.2872,2.1203,2.011,2.9333,1.4513,-0.24953
12589,14.86889057,11.04471715,-447.2211094,-451.0452829,0.35236,1.4153,1.4603,1.3555,2.2873,2.1818,2.0931,2.9862,1.4556,-0.25028
14125,28.30579095,10.03970308,-433.7842091,-452.0502969,0.35614,1.3973,1.3833,0.99564,2.2991,2.173,2.0901,3.0229,1.4586,-0.25347
15848,32.28617344,9.971447777,-429.8038266,-452.1185522,0.39116,1.4243,1.381,1.0396,2.3023,2.1665,2.0658,3.0151,1.4361,-0.25366
17782,9.969034098,9.950059148,-452.1209659,-452.1399409,0.38585,1.3901,1.3869,0.7276,2.2996,2.1733,2.0917,3.0298,1.4544,-0.25352
19952,9.951142208,9.949606583,-452.1388578,-452.1403934,0.38112,1.3901,1.3877,0.7281,2.299,2.1755,2.0916,3.0294,1.4558,-0.25232
