evaluation,fitness,best_fitness,measured_fitness,best_measured_fitness,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,87.75242678,87.75242678,167.2324268,167.2324268,4.5223,1.6029,-2.9613,0.21715,1.2429,-4.6114,1.3634,-0.53038,1.493,-2.2377
2,151.7715854,87.75242678,231.2515854,167.2324268,-4.3718,4.6348,4.7941,2.3825,3.5598,-1.2168,0.88628,-2.4271,1.6441,-0.55436
3,147.7117881,87.75242678,227.1917881,167.2324268,1.8315,-1.9713,3.6052,4.4981,2.2746,-3.6155,3.4125,2.4786,-3.9146,4.365
4,61.64710501,61.64710501,141.127105,141.127105,-0.79822,-4.3923,0.96793,1.2405,0.82487,-2.7892,1.6291,-2.8117,1.6804,-1.8779
5,86.37660964,61.64710501,165.8566096,141.127105,-0.04944,2.3086,-2.2432,-0.25529,-0.30885,-3.6834,3.5279,-4.4226,-1.1105,0.17205
6,70.22601039,61.64710501,149.7060104,141.127105,0.023066,-4.279,3.2007,-1.3718,-4.781,0.47531,0.012737,3.6316,-2.0461,1.0981
7,73.08627121,61.64710501,152.5662712,141.127105,2.9966,2.1557,1.7058,-1.0355,-1.6038,-2.4693,1.1753,-4.9748,-0.281,-2.1443
8,76.25746077,61.64710501,155.7374608,141.127105,-1.8527,4.6696,-4.8356,0.90407,-0.58574,-0.14449,2.2207,-2.0578,0.43294,-3.8899
10,123.9910178,61.64710501,203.4710178,141.127105,0.19508,3.6783,-3.1001,-3.0991,-2.3572,0.296,-0.56836,3.8181,0.32121,4.1506
11,113.4868298,61.64710501,192.9668298,141.127105,-3.3262,3.4685,3.8202,-3.1618,-0.62747,-1.7655,1.6937,-3.4068,1.1767,-2.8734
12,64.08752252,61.64710501,143.5675225,141.127105,-2.2967,-0.70908,-2.4174,-0.46558,-4.3941,1.6669,1.5845,-2.6038,0.76382,2.2662
14,84.25228886,61.64710501,163.7322889,141.127105,1.4421,4.0792,3.1259,0.26229,-4.0826,-2.5016,3.4967,2.611,-0.90842,-0.32659
15,124.5176954,61.64710501,203.9976954,141.127105,4.7377,1.7949,3.9643,-2.6797,-3.6707,4.5702,3.9872,2.9139,-3.0336,-0.24901
17,121.7462524,61.64710501,201.2262524,141.127105,-2.8595,-2.6967,1.1963,-4.7337,2.5656,2.1137,-2.2353,1.0623,-0.27527,1.8563
19,134.6273219,61.64710501,214.1073219,141.127105,-4.4791,3.0745,-4.6566,1.2307,4.199,3.4902,-0.19954,3.9108,-4.0267,-4.3383
22,102.0902823,61.64710501,181.5702823,141.127105,2.5356,-3.4014,-2.3983,2.879,2.8293,-3.1993,1.3693,-2.3702,-4.2885,2.3426
25,140.3964456,61.64710501,219.8764456,141.127105,0.79452,-3.4283,3.874,3.3962,4.4507,1.7034,-4.8031,0.82,4.3332,-4.0916
28,136.8421005,61.64710501,216.3221005,141.127105,-3.3588,2.1152,-1.8989,-4.4847,0.51142,-2.4482,2.2186,0.70828,3.3718,1.5518
